smiles,mean,std,n
CC(C)(C)CC(C)(C)C,-241.5,0.0,1
CC(C)(C)CC(C)(C)N=NC(C)(C)C,-119.0,0.0,1
CC(C)(C)CCC(C)(C)C,-285.0,0.0,1
CC(C)(C)CS,-128.7,0.0,1
CC(C)(C)Cl,-179.9,0.0,1
CC(C)(C)I,-72.0,0.0,1
CC(C)(C)N,-125.125,9.4574,4
CC(C)(C)N(F)F,-192.0,0.0,1
CC(C)(C)N=Cc1ccc(cc1)[N+]([O-])=O,49.4,0.0,1
CC(C)(C)N=NC(C)(C)C,-36.0,0.5657,2
CC(C)(C)N=[N+]([O-])C(C)(C)C,-107.6,0.0,2
CC(C)(C)NC(O)=N,-314.0,0.0,1
CC(C)(C)NC(O)=NC(C)(C)C,-404.2,0.0,1
CC(C)(C)O,-311.7667,1.8009,3
CC(C)(C)OC(=O)C(F)(F)F,-1098.3,0.0,1
CC(C)(C)OC(C)(C)C,-361.6667,0.4933,3
CC(C)(C)OC=O,-456.8,0.0,1
CC(C)(C)OCC1CO1,-319.82,1.3084,5
CC(C)(C)ON=O,-172.0,0.0,1
CC(C)(C)OO,-240.45,7.8489,2
CC(C)(C)OOC(C)(C)C,-341.6,1.2166,3
CC(C)(C)OOC(C)(C)C#CC=C,22.7,0.0,1
CC(C)(C)OOC(C)(C)CCC(C)(C)O,-620.6,0.0,1
CC(C)(C)OOC(C)(C)CCC(C)(C)OO,-561.8,0.0,1
CC(C)(C)OOCC(O)CO,-631.2,0.0,1
CC(C)(C)OOCC1CO1,-267.475,3.2056,4
CC(C)(C)OOCCO,-445.3,0.0,1
CC(C)(C)O\N=N\OC(C)(C)C,-189.0,0.0,1
CC(C)(C)S,-108.7,0.0,1
CC(C)(C)SC(C)(C)C,-187.75,1.0607,2
CC(C)(C)SCC=C,-46.0,0.0,1
CC(C)(C)SSC(C)(C)C,-200.6,1.2166,3
CC(C)(C)[N+]([O-])=Cc1ccc(cc1)[N+]([O-])=O,11.1,0.0,1
CC(C)(C)[N+]([O-])=Cc1ccccc1,30.9,0.0,1
CC(C)(C)[N+]([O-])=O,-177.1,0.0,1
CC(C)(C)[S](=O)(=O)C(C)(C)C,-546.3,0.0,1
CC(C)(C)\C=C/C(C)(C)C,-127.0,0.0,1
CC(C)(C)\C=C\C(C)(C)C,-166.25,1.0607,2
CC(C)(C)c1cc(O)c(O)c(c1)C(C)(C)C,-470.5,0.0,1
CC(C)(C)c1cc(O)cc(c1)C(C)(C)C,-300.0,0.0,1
CC(C)(C)c1cc(c(N=O)c(c1)C(C)(C)C)C(C)(C)C,-117.4,0.0,1
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,-369.8,0.0,1
CC(C)(C)c1cc(c(c(c1)C(C)(C)C)[N+]([O-])=O)C(C)(C)C,-189.9,0.0,1
CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(O)=O,-516.3,0.0,1
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2ccccc2,-156.8,0.0,1
CC(C)(C)c1ccc(O)c(O)c1,-374.7,0.0,1
CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,-290.0,0.0,1
CC(C)(C)c1ccc(c(O)c1)C(C)(C)C,-260.0,0.0,1
CC(C)(C)c1ccc(cc1)C(C)(C)C(C)(C)c2ccc(cc2)C(C)(C)C,-139.0,0.0,1
CC(C)(C)c1ccc(cc1)C(O)=O,-398.5,0.0,1
CC(C)(C)c1cccc(O)c1,-184.6,0.8485,2
CC(C)(C)c1cccc(c1)C(O)=O,-400.8,0.0,1
CC(C)(C)c1cccc(c1O)C(C)(C)C,-262.0,0.0,1
CC(C)(C)c1cccc(c1O)c2ccccc2,-57.03,0.0,1
CC(C)(C)c1ccccc1,-22.7,0.0,1
CC(C)(C)c1ccccc1C(O)=O,-376.1,0.0,1
CC(C)(C)c1ccccc1O,-199.1,0.0,1
CC(C)(Cl)Cl,-174.85,2.6163,2
CC(C)(F)F,-543.0,0.0,1
CC(C)(N)CN,-90.25,0.0,1
CC(C)(N=Nc1ccccc1)C(C)(C)N=Nc2ccccc2,477.0,0.0,1
CC(C)(O)C#CC=C,46.2,0.0,1
CC(C)(O)C(C)(C)O,-540.4,0.0,1
CC(C)(O)C(C)(C)OC=O,-676.3,0.0,1
CC(C)(O)C1(C)OCCCO1,-642.0,0.0,1
CC(C)(OO)C#CC=C,127.1,0.0,1
CC(C)(OO)c1ccccc1,-78.7,0.0,1
CC(C)(OOC(=O)c1ccccc1)c2ccccc2,-188.0,0.0,1
CC(C)(Sc1ccccc1)Sc2ccccc2,262.0,0.0,1
CC(C)([CH]=[C]=[CH2])[CH]=[C]=[CH2],340.0,0.0,1
CC(C)(c1ccccc1)C(C)(C)c2ccccc2,57.0,0.0,1
CC(C)=C,-17.9,0.0,1
CC(C)=C(C)C,-69.35,1.3435,2
CC(C)=C(C)O,-241.0,0.0,1
CC(C)=C(C=C)C=C,129.0,0.0,1
CC(C)=C1C=CC=C1,144.0,0.0,1
CC(C)=C1CCC=C1,49.4,0.0,1
CC(C)=CC(C)=O,-181.39,4.3982,2
CC(C)=CC=C(C)C,-19.2,0.0,1
CC(C)=CO,-207.0,0.0,1
CC(C)=C[S](=O)(=O)c1ccc(C)cc1,-240.0,0.0,1
CC(C)=O,-217.375,0.877,4
CC(C)Br,-97.5333,1.6743,3
CC(C)C,-134.9,0.9899,2
CC(C)C#C,136.4,0.0,1
CC(C)C#N,23.55,1.0607,2
CC(C)C(=O)C(C)(C)C,-338.3,0.0,1
CC(C)C(=O)C(C)C,-311.3,0.0,1
CC(C)C(=O)CC(=O)C(C)(C)C,-510.7,0.0,1
CC(C)C(=O)CC(=O)C(C)C,-470.4,0.0,1
CC(C)C(=O)CC(C)=O,-452.7,0.0,1
CC(C)C(C(C)=O)C(C)=O,-448.9,0.0,1
CC(C)C(C)(C)C,-205.35,0.7778,2
CC(C)C(C)(C)C(C)(C#N)C#N,79.33,0.0,1
CC(C)C(C)(C)C(C)=O,-328.4,0.0,1
CC(C)C(C)(C)O,-357.0,0.0,1
CC(C)C(C)(C)S,-147.9,0.0,1
CC(C)C(C)(O)c1ccccc1,-211.3,0.0,1
CC(C)C(C)=C,-63.45,3.4648,2
CC(C)C(C)=O,-262.57,0.0,1
CC(C)C(C)C,-177.8,0.0,1
CC(C)C(C)C(C)C,-217.4,0.0,1
CC(C)C(C)O,-314.75,2.3335,2
CC(C)C(C)S,-121.0,0.0,1
CC(C)C(C1CCCCC1)C(C(C)C)C2CCCCC2,-300.0,0.0,1
CC(C)C(O)=N,-282.6,0.0,1
CC(C)C1CCC(=CC1)C,-110.8,0.0,1
CC(C)C=C,-25.5,0.0,1
CC(C)C=O,-216.475,1.0626,4
CC(C)CC(=O)CC(C)=O,-456.5,0.0,1
CC(C)CC(=O)CC(C)C,-357.7,0.0,1
CC(C)CC(=O)c1ccccc1,-160.7,0.0,1
CC(C)CC(C)(C)C,-224.1,0.0,1
CC(C)CC(C)(c1ccc(cc1)C(C)(C)C)C(C)(CC(C)C)c2ccc(cc2)C(C)(C)C,-254.0,0.0,1
CC(C)CC(C)=O,-291.2,0.0,1
CC(C)CC(C)C,-203.6,2.1213,2
CC(C)CC(C)C(C)C,-242.6,0.0,1
CC(C)CC(C)O,-344.1,0.0,1
